Team,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT - MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST,Season Type,Season
SACRAMENTO MONARCHS,6,3,3,40.0,78.4,21.6,63.7,18.6,16.7,3.7,19.6,14.3,45.1,59.2,40.8,61.9,38.1,59.6,40.4,Playoffs,2003
HOUSTON COMETS,3,1,2,40.0,79.9,20.1,62.2,24.5,15.3,16.8,22.4,21.9,37.8,52.5,47.5,70.0,30.0,54.9,45.1,Playoffs,2003
LOS ANGELES SPARKS,3,1,2,40.0,76.5,23.5,59.7,19.9,21.5,13.8,18.8,23.2,39.8,63.0,37.0,92.3,7.7,68.7,31.3,Playoffs,2004
MINNESOTA LYNX,2,0,2,40.0,73.0,27.0,58.9,3.6,24.1,12.5,17.0,23.2,55.4,57.6,42.4,88.9,11.1,64.3,35.7,Playoffs,2004
SEATTLE STORM,8,6,2,40.6,81.5,18.5,59.7,21.8,22.5,11.4,17.7,23.6,37.9,56.3,43.7,92.9,7.1,63.6,36.4,Playoffs,2004
DETROIT SHOCK,3,1,2,40.0,91.0,9.0,65.3,22.8,7.4,12.9,27.2,19.3,42.6,60.6,39.4,100.0,0.0,63.4,36.6,Playoffs,2004
NEW YORK LIBERTY,5,2,3,40.0,63.6,36.4,52.1,13.3,36.2,4.8,11.7,20.0,38.7,52.4,47.6,81.6,18.4,61.7,38.3,Playoffs,2004
SACRAMENTO MONARCHS,6,3,3,40.8,80.2,19.8,65.3,18.9,15.3,7.7,19.4,28.8,46.4,55.5,44.5,90.0,10.0,60.1,39.9,Playoffs,2004
CONNECTICUT SUN,8,5,3,40.0,78.3,21.7,58.2,12.9,21.0,12.1,20.8,18.1,45.4,53.2,46.8,86.5,13.5,59.7,40.3,Playoffs,2004
WASHINGTON MYSTICS,3,1,2,40.0,86.5,13.5,62.2,17.6,10.9,6.7,26.9,11.4,44.6,45.0,55.0,57.1,42.9,46.3,53.7,Playoffs,2004
LOS ANGELES SPARKS,2,0,2,40.0,72.7,27.3,54.8,16.3,24.4,11.1,20.7,35.6,38.5,64.9,35.1,100.0,0.0,72.9,27.1,Playoffs,2005
SACRAMENTO MONARCHS,8,7,1,41.3,83.6,16.4,62.5,16.5,19.5,10.2,18.1,23.2,46.0,57.3,42.7,83.8,16.2,61.9,38.1,Playoffs,2005
CONNECTICUT SUN,8,5,3,41.3,74.4,25.6,52.7,20.2,22.2,12.1,25.1,15.9,32.5,54.1,45.9,70.7,29.3,57.8,42.2,Playoffs,2005
SEATTLE STORM,3,1,2,40.0,72.6,27.4,59.9,17.3,16.8,13.7,23.4,27.9,42.6,50.8,49.2,90.9,9.1,57.1,42.9,Playoffs,2005
INDIANA FEVER,4,2,2,41.3,80.5,19.5,48.4,8.6,24.6,7.0,27.0,23.4,39.8,48.4,51.6,76.2,23.8,55.4,44.6,Playoffs,2005
